0.0,5.116,22.287,39.946,53.103,37.625,53.801,5.454,81.97,28.925,43.054,96.054,130.644,29.759,43.825,20.936,192.617,48.897,73.102,65.264
15.593,0.0,18.498,37.148,49.756,36.294,56.648,8.377,82.968,32.349,46.72,95.731,133.958,32.259,43.544,16.545,203.414,46.75,78.095,61.452
31.039,18.141,0.0,27.057,37.467,22.132,64.475,22.35,67.168,40.239,43.191,78.234,146.419,44.908,26.521,27.231,224.429,27.785,89.416,46.651
33.044,21.217,14.291,0.0,25.533,15.645,65.596,22.972,65.912,43.286,22.958,83.552,146.767,47.765,28.612,31.979,221.203,30.129,92.393,42.019
36.674,25.343,12.925,17.131,0.0,23.211,70.508,27.028,57.779,50.165,36.668,92.423,140.551,50.4,16.638,35.516,229.804,19.657,94.319,28.974
30.911,20.033,7.94,15.104,32.505,0.0,69.561,24.683,68.945,44.502,32.006,85.548,141.657,47.805,28.741,29.849,222.338,31.237,92.533,45.32
20.135,9.929,20.696,38.811,55.13,39.226,0.0,9.773,85.752,28.902,44.733,94.679,82.616,34.334,45.568,9.698,202.153,47.319,78.343,63.914
13.875,7.571,21.87,39.467,54.861,35.54,52.479,0.0,88.434,24.321,38.852,99.97,126.338,26.391,44.542,20.135,204.24,47.492,65.605,64.224
36.081,26.033,10.56,29.033,24.157,27.412,70.993,29.336,0.0,51.496,47.277,85.789,150.004,54.017,1.0,34.982,224.628,15.152,95.813,36.022
15.757,8.694,22.517,38.912,52.983,37.783,50.154,3.593,85.444,0.0,44.488,95.394,125.995,29.447,46.333,16.326,216.738,48.071,71.883,65.459
27.304,17.907,16.409,14.546,32.43,22.582,63.24,15.885,78.129,38.126,0.0,94.484,141.835,42.216,34.159,28.32,217.904,39.063,77.496,54.441
30.33,17.499,1.0,29.102,38.303,25.112,65.434,23.407,72.91,46.028,44.655,0.0,140.644,45.698,28.71,27.176,227.395,31.643,89.684,49.14
21.693,10.9,21.997,41.344,54.751,40.372,1.0,9.753,86.866,30.654,45.71,102.362,0.0,34.844,47.984,10.163,216.534,48.919,75.932,62.795
16.013,6.088,22.487,40.094,52.5,39.36,51.466,3.923,81.602,28.614,43.072,99.476,130.579,0.0,46.189,19.457,214.331,49.275,68.94,62.568
36.405,24.488,8.763,26.07,26.264,26.65,70.578,29.758,41.403,48.597,43.151,92.225,150.097,50.949,0.0,34.149,224.805,15.716,95.81,30.118
20.296,8.357,17.223,40.323,48.14,36.051,43.641,11.833,83.086,28.563,43.323,98.345,116.579,35.884,43.071,0.0,209.157,42.883,78.195,59.367
1.0,5.941,21.937,39.499,53.848,40.872,55.693,6.556,84.333,31.443,44.311,97.244,135.527,30.916,43.86,21.292,0.0,48.695,77.477,65.45
36.848,25.253,8.284,27.065,24.115,26.829,71.256,26.786,49.965,49.947,47.246,82.789,143.706,49.501,13.373,34.822,225.339,0.0,95.625,24.19
14.701,8.601,22.142,39.979,50.38,37.604,55.305,1.0,85.562,26.855,44.067,97.695,128.596,29.471,46.461,21.457,199.586,47.224,0.0,65.061
38.553,24.826,11.387,25.003,17.338,26.864,72.299,28.7,58.382,48.81,42.512,90.606,148.359,52.529,15.649,34.661,217.712,9.811,98.421,0.0
